Run,Dataset,Classifier,Classifier_accuracy,Classifier_time,DESFH_accuracy,DESFH_time,EnsemblePruneFH_accuracy,EnsemblePruneFH_time,Number_of_hyperboxes,Ensemble_members_removed,n_estimators,overlap_threshold,threshold_remove
8,pima,RandomForestClassifier,0.76042,0.01961,0.76042,0.27136,0.76042,0.10043,157,0,10,0.05,0.01
8,pima,AdaBoostClassifier,0.76042,0.01267,0.74479,0.39544,0.74479,0.06231,165,0,10,0.05,0.01
9,pima,BaggingClassifier,0.75,0.02249,0.75,0.23364,0.76042,0.05533,92,2,10,0.05,0.01
9,pima,RandomForestClassifier,0.72396,0.01611,0.72396,0.2129,0.72396,0.0421,92,1,10,0.05,0.01
9,pima,AdaBoostClassifier,0.6875,0.01473,0.6875,0.32195,0.6875,0.05182,90,1,10,0.05,0.01
10,pima,BaggingClassifier,0.72396,0.02204,0.72396,0.2057,0.70312,0.05329,99,1,10,0.05,0.01
10,pima,RandomForestClassifier,0.70833,0.01747,0.70833,0.22638,0.70833,0.05407,102,0,10,0.05,0.01
10,pima,AdaBoostClassifier,0.69271,0.0117,0.71875,0.37363,0.69271,0.05498,114,1,10,0.05,0.01
1,pima,BaggingClassifier,0.68229,0.02568,0.68229,0.23984,0.68229,0.0866,137,0,10,0.05,0.05
1,pima,RandomForestClassifier,0.75521,0.01855,0.75521,0.27098,0.75521,0.09048,147,0,10,0.05,0.05
1,pima,AdaBoostClassifier,0.75521,0.01712,0.75,0.46294,0.75,0.0827,151,0,10,0.05,0.05
2,pima,BaggingClassifier,0.69792,0.02017,0.69792,0.25237,0.69792,0.07707,117,0,10,0.05,0.05
2,pima,RandomForestClassifier,0.70833,0.01619,0.70833,0.26785,0.71354,0.06126,107,1,10,0.05,0.05
2,pima,AdaBoostClassifier,0.68229,0.01492,0.67708,0.48254,0.5,0.06812,135,3,10,0.05,0.05
3,pima,BaggingClassifier,0.73438,0.02117,0.73438,0.20239,0.72917,0.06508,110,1,10,0.05,0.05
3,pima,RandomForestClassifier,0.73958,0.02307,0.73958,0.26586,0.70833,0.07548,124,2,10,0.05,0.05
3,pima,AdaBoostClassifier,0.76562,0.01559,0.77083,0.46015,0.77083,0.08208,136,0,10,0.05,0.05
4,pima,BaggingClassifier,0.73438,0.02107,0.73438,0.22439,0.72396,0.06836,110,3,10,0.05,0.05
4,pima,RandomForestClassifier,0.74479,0.01487,0.74479,0.24346,0.74479,0.07296,109,0,10,0.05,0.05
4,pima,AdaBoostClassifier,0.74479,0.01963,0.70833,0.49785,0.70833,0.07145,118,0,10,0.05,0.05
5,pima,BaggingClassifier,0.73438,0.02459,0.73438,0.20384,0.73438,0.0904,141,0,10,0.05,0.05
5,pima,RandomForestClassifier,0.72917,0.01648,0.72917,0.25829,0.72917,0.09406,155,0,10,0.05,0.05
5,pima,AdaBoostClassifier,0.72396,0.01398,0.74479,0.38791,0.74479,0.10164,149,0,10,0.05,0.05
6,pima,BaggingClassifier,0.79167,0.02107,0.79167,0.21988,0.79167,0.08974,121,0,10,0.05,0.05
6,pima,RandomForestClassifier,0.76562,0.0181,0.76562,0.26089,0.76562,0.08694,135,0,10,0.05,0.05
6,pima,AdaBoostClassifier,0.79167,0.01353,0.70312,0.5072,0.67708,0.07229,144,2,10,0.05,0.05
7,pima,BaggingClassifier,0.77604,0.02409,0.77604,0.21686,0.77604,0.10455,162,0,10,0.05,0.05
7,pima,RandomForestClassifier,0.72396,0.01516,0.72396,0.24307,0.72396,0.09161,155,0,10,0.05,0.05
7,pima,AdaBoostClassifier,0.75521,0.01603,0.73958,0.43905,0.73958,0.0983,166,0,10,0.05,0.05
8,pima,BaggingClassifier,0.83333,0.02309,0.83333,0.24234,0.83333,0.10052,141,0,10,0.05,0.05
8,pima,RandomForestClassifier,0.76042,0.01415,0.76042,0.29045,0.76042,0.11104,157,0,10,0.05,0.05
8,pima,AdaBoostClassifier,0.76042,0.01606,0.74479,0.47625,0.74479,0.05762,165,0,10,0.05,0.05
9,pima,BaggingClassifier,0.75,0.02258,0.75,0.23732,0.76042,0.05692,92,2,10,0.05,0.05
9,pima,RandomForestClassifier,0.72396,0.01448,0.72396,0.218,0.72396,0.06199,92,1,10,0.05,0.05
9,pima,AdaBoostClassifier,0.6875,0.01709,0.6875,0.3654,0.6875,0.06461,90,1,10,0.05,0.05
10,pima,BaggingClassifier,0.72396,0.0236,0.72396,0.19887,0.70312,0.06305,99,1,10,0.05,0.05
10,pima,RandomForestClassifier,0.70833,0.02105,0.70833,0.22711,0.70833,0.05732,102,0,10,0.05,0.05
10,pima,AdaBoostClassifier,0.69271,0.01522,0.71875,0.42,0.69271,0.07196,114,1,10,0.05,0.05
1,pima,BaggingClassifier,0.68229,0.01978,0.68229,0.19941,0.68229,0.07627,137,0,10,0.05,0.1
1,pima,RandomForestClassifier,0.75521,0.01486,0.75521,0.25454,0.75521,0.10198,147,0,10,0.05,0.1
1,pima,AdaBoostClassifier,0.75521,0.01497,0.75,0.42378,0.75,0.05593,151,0,10,0.05,0.1
2,pima,BaggingClassifier,0.69792,0.02006,0.69792,0.2301,0.69792,0.06343,117,0,10,0.05,0.1
2,pima,RandomForestClassifier,0.70833,0.01238,0.70833,0.23732,0.70833,0.06841,107,0,10,0.05,0.1
2,pima,AdaBoostClassifier,0.68229,0.01603,0.67708,0.42157,0.67708,0.05103,135,0,10,0.05,0.1
3,pima,BaggingClassifier,0.73438,0.02057,0.73438,0.18953,0.73438,0.06161,110,0,10,0.05,0.1
3,pima,RandomForestClassifier,0.73958,0.01503,0.73958,0.24292,0.70833,0.08197,124,2,10,0.05,0.1
3,pima,AdaBoostClassifier,0.76562,0.01548,0.77083,0.40673,0.77083,0.07051,136,0,10,0.05,0.1
4,pima,BaggingClassifier,0.73438,0.02026,0.73438,0.20608,0.72917,0.0671,110,2,10,0.05,0.1
4,pima,RandomForestClassifier,0.74479,0.01691,0.74479,0.21248,0.74479,0.06763,109,0,10,0.05,0.1
4,pima,AdaBoostClassifier,0.74479,0.01622,0.70833,0.44196,0.70833,0.04975,118,0,10,0.05,0.1
5,pima,BaggingClassifier,0.73438,0.02026,0.73438,0.18903,0.73438,0.07213,141,0,10,0.05,0.1
5,pima,RandomForestClassifier,0.72917,0.01291,0.72917,0.19037,0.72917,0.10915,155,0,10,0.05,0.1
5,pima,AdaBoostClassifier,0.72396,0.01828,0.74479,0.3399,0.74479,0.09296,149,0,10,0.05,0.1
6,pima,BaggingClassifier,0.79167,0.02041,0.79167,0.19884,0.79167,0.07763,121,0,10,0.05,0.1
6,pima,RandomForestClassifier,0.76562,0.01412,0.76562,0.23632,0.76562,0.08263,135,0,10,0.05,0.1
